d3mIndex,Company,Year,Date,Close
209,abbv,2013,11-26,42.341
210,abbv,2013,12-26,46.166
422,abbv,2014,11-24,60.957
423,abbv,2014,12-26,60.237
634,abbv,2015,11-25,56.002
635,abbv,2015,12-28,54.57100000000001
846,abbv,2016,11-28,57.367
847,abbv,2016,12-28,60.078
1058,abbv,2017,11-02,91.02
1232,baf,2005,11-28,9.0746
1233,baf,2005,12-28,9.0251
1444,baf,2006,11-28,9.612
1445,baf,2006,12-27,9.4987
1656,baf,2007,11-28,9.0402
1657,baf,2007,12-24,8.7377
1870,baf,2008,11-24,6.3213
1871,baf,2008,12-26,6.3759
2082,baf,2009,11-25,9.047
2083,baf,2009,12-28,9.3868
2293,baf,2010,11-26,9.753
2294,baf,2010,12-28,8.8276
2504,baf,2011,11-28,10.878
2505,baf,2011,12-28,11.105
2715,baf,2012,11-28,13.155
2716,baf,2012,12-24,12.554
2928,baf,2013,11-26,10.112
2929,baf,2013,12-26,10.693
3141,baf,2014,11-24,12.128
3142,baf,2014,12-26,12.314
3353,baf,2015,11-25,13.02
3354,baf,2015,12-28,13.3
3565,baf,2016,11-28,13.288
3566,baf,2016,12-28,13.478
3777,baf,2017,11-02,15.1
3951,caj,2005,11-28,34.53
3952,caj,2005,12-28,36.26
4163,caj,2006,11-28,46.849
4164,caj,2006,12-27,51.966
4375,caj,2007,11-28,48.68
4376,caj,2007,12-24,42.77
4589,caj,2008,11-24,27.48
4590,caj,2008,12-26,27.208
4801,caj,2009,11-25,34.902
4802,caj,2009,12-28,39.265
5012,caj,2010,11-26,43.45399999999999
5013,caj,2010,12-28,46.895
5223,caj,2011,11-28,39.156
5224,caj,2011,12-28,39.519
5434,caj,2012,11-28,32.073
5435,caj,2012,12-24,36.765
5647,caj,2013,11-26,30.65
5648,caj,2013,12-26,29.969
5860,caj,2014,11-24,29.734
5861,caj,2014,12-26,31.693
6072,caj,2015,11-25,29.183000000000003
6073,caj,2015,12-28,30.004
6284,caj,2016,11-28,28.137
6285,caj,2016,12-28,27.646
6496,caj,2017,11-02,37.73
6707,dac,2007,11-28,29.99
6708,dac,2007,12-24,26.81
6921,dac,2008,11-24,3.67
6922,dac,2008,12-26,5.89
7133,dac,2009,11-25,4.53
7134,dac,2009,12-28,4.5
7344,dac,2010,11-26,3.92
7345,dac,2010,12-28,3.76
7555,dac,2011,11-28,3.34
7556,dac,2011,12-28,3.5
7766,dac,2012,11-28,2.77
7767,dac,2012,12-24,2.57
7979,dac,2013,11-26,4.49
7980,dac,2013,12-26,4.89
8192,dac,2014,11-24,5.92
8193,dac,2014,12-26,5.35
8404,dac,2015,11-25,5.77
8405,dac,2015,12-28,4.94
8616,dac,2016,11-28,3.3
8617,dac,2016,12-28,2.55
8828,dac,2017,11-02,1.5
9038,ebay,1999,11-26,9.3224
9039,ebay,1999,12-28,7.3569
9251,ebay,2000,11-28,3.7921
9252,ebay,2000,12-27,3.7079
9460,ebay,2001,11-28,6.8476
9461,ebay,2001,12-24,6.7172
9672,ebay,2002,11-26,7.1086
9673,ebay,2002,12-26,7.117000000000001
9885,ebay,2003,11-24,11.477
9886,ebay,2003,12-26,13.342
10096,ebay,2004,11-26,23.464
10097,ebay,2004,12-28,24.44400000000001
10308,ebay,2005,11-28,19.095
10309,ebay,2005,12-28,18.674
10520,ebay,2006,11-28,13.476
10521,ebay,2006,12-27,12.862
10732,ebay,2007,11-28,14.205
10733,ebay,2007,12-24,14.380999999999998
10946,ebay,2008,11-24,5.3872
10947,ebay,2008,12-26,5.7239
11158,ebay,2009,11-25,9.937
11159,ebay,2009,12-28,10.046
11369,ebay,2010,11-26,13.11
11370,ebay,2010,12-28,11.932
11581,ebay,2011,11-28,12.483
11582,ebay,2011,12-28,12.799
11792,ebay,2012,11-28,21.662
11793,ebay,2012,12-24,21.498
12005,ebay,2013,11-26,20.522
12006,ebay,2013,12-26,22.753
12218,ebay,2014,11-24,22.891
12219,ebay,2014,12-26,24.007
12430,ebay,2015,11-25,29.0
12431,ebay,2015,12-28,27.64
12642,ebay,2016,11-28,28.57
12643,ebay,2016,12-28,30.01
12854,ebay,2017,11-02,37.4
13067,fanh,2008,11-24,5.9296
13068,fanh,2008,12-26,8.7612
13279,fanh,2009,11-25,21.923
13280,fanh,2009,12-28,20.472
13490,fanh,2010,11-26,21.331
13491,fanh,2010,12-28,16.003
13701,fanh,2011,11-28,5.9789
13702,fanh,2011,12-28,6.64
13912,fanh,2012,11-28,7.3306
13913,fanh,2012,12-24,6.5413
14125,fanh,2013,11-26,5.0219
14126,fanh,2013,12-26,5.6731
14338,fanh,2014,11-24,6.1565
14339,fanh,2014,12-26,6.7584
14550,fanh,2015,11-25,9.0868
14551,fanh,2015,12-28,9.1164
14762,fanh,2016,11-28,9.0473
14763,fanh,2016,12-28,8.2383
14974,fanh,2017,11-02,14.96
15067,gain,2005,11-28,7.58
15068,gain,2005,12-28,7.5469
15279,gain,2006,11-28,7.9286
15280,gain,2006,12-27,8.2763
15491,gain,2007,11-28,6.184
15492,gain,2007,12-24,5.5035
15705,gain,2008,11-24,2.2233
15706,gain,2008,12-26,2.3048
15917,gain,2009,11-25,2.5117
15918,gain,2009,12-28,2.4845
16128,gain,2010,11-26,4.2555
16129,gain,2010,12-28,4.1792
16339,gain,2011,11-28,4.099
16340,gain,2011,12-28,4.2084
16550,gain,2012,11-28,4.3751
16551,gain,2012,12-24,4.5323
16763,gain,2013,11-26,5.1622
16764,gain,2013,12-26,5.4171
16976,gain,2014,11-24,5.4977
16977,gain,2014,12-26,5.2272
17188,gain,2015,11-25,6.4742
17189,gain,2015,12-28,6.62
17400,gain,2016,11-28,7.3561
17401,gain,2016,12-28,7.8279
17612,gain,2017,11-02,10.45
17822,hawx,2017,11-02,27.0598
18035,ibm,1962,11-28,4.4089
18036,ibm,1962,12-24,4.3669
18249,ibm,1963,11-15,5.3774
18250,ibm,1963,12-26,5.436
18463,ibm,1964,11-24,5.8036
18464,ibm,1964,12-28,5.7197
18675,ibm,1965,11-26,7.4232
18676,ibm,1965,12-28,6.9555
18888,ibm,1966,11-28,7.6987
18889,ibm,1966,12-28,7.6237
19101,ibm,1967,11-28,12.759
19102,ibm,1967,12-27,12.992
19294,ibm,1968,11-26,13.702
19295,ibm,1968,12-26,13.295
19505,ibm,1969,11-24,14.372
19506,ibm,1969,12-26,15.005
19719,ibm,1970,11-24,12.465
19720,ibm,1970,12-28,13.234000000000002
19931,ibm,1971,11-26,12.417
19932,ibm,1971,12-28,14.103
20145,ibm,1972,11-28,15.890999999999998
20146,ibm,1972,12-22,16.230999999999998
20357,ibm,1973,11-28,13.986
20358,ibm,1973,12-24,12.339
20571,ibm,1974,11-26,9.1944
20572,ibm,1974,12-26,8.5761
20784,ibm,1975,11-24,11.547
20785,ibm,1975,12-26,11.599
20997,ibm,1976,11-26,14.246
20998,ibm,1976,12-28,14.472
21209,ibm,1977,11-28,13.878
21210,ibm,1977,12-28,14.087
21422,ibm,1978,11-28,13.92
21423,ibm,1978,12-27,15.725
21636,ibm,1979,11-28,13.668
21637,ibm,1979,12-24,13.485
21851,ibm,1980,11-17,14.888
21852,ibm,1980,12-26,14.348
22064,ibm,1981,11-25,10.938
22065,ibm,1981,12-28,11.749
22275,ibm,1982,11-26,17.336
22276,ibm,1982,12-28,19.782
22488,ibm,1983,11-28,24.792
22489,ibm,1983,12-28,25.835
22702,ibm,1984,11-28,25.601
22703,ibm,1984,12-24,25.835
22915,ibm,1985,11-26,28.9
22916,ibm,1985,12-26,31.865
23129,ibm,1986,11-24,25.919
23130,ibm,1986,12-26,25.365
23342,ibm,1987,11-25,24.459
23343,ibm,1987,12-28,24.072
23555,ibm,1988,11-28,24.726
23556,ibm,1988,12-28,25.474
23768,ibm,1989,11-28,20.566
23769,ibm,1989,12-27,19.707
23982,ibm,1990,11-28,23.374
23983,ibm,1990,12-24,23.68
24196,ibm,1991,11-26,20.358
24197,ibm,1991,12-26,18.353
24410,ibm,1992,11-25,13.593
24411,ibm,1992,12-28,10.765
24622,ibm,1993,11-26,11.599
24623,ibm,1993,12-28,12.14
24834,ibm,1994,11-28,14.688
24835,ibm,1994,12-28,15.179
25047,ibm,1995,11-28,20.174
25048,ibm,1995,12-27,19.139
25262,ibm,1996,11-26,32.866
25263,ibm,1996,12-26,32.398
25476,ibm,1997,11-24,42.902
25477,ibm,1997,12-26,42.302
25688,ibm,1998,11-25,69.373
25689,ibm,1998,12-28,78.735
25899,ibm,1999,11-26,87.368
25900,ibm,1999,12-28,91.36
26112,ibm,2000,11-28,81.622
26113,ibm,2000,12-27,70.61
26321,ibm,2001,11-28,93.643
26322,ibm,2001,12-24,101.4
26534,ibm,2002,11-26,71.027
26535,ibm,2002,12-26,65.55
26747,ibm,2003,11-24,74.868
26748,ibm,2003,12-26,77.575
26958,ibm,2004,11-26,79.092
26959,ibm,2004,12-28,82.08200000000002
27170,ibm,2005,11-28,74.40899999999998
27171,ibm,2005,12-28,69.39
27382,ibm,2006,11-28,76.277
27383,ibm,2006,12-27,81.081
27594,ibm,2007,11-28,89.664
27595,ibm,2007,12-24,93.239
27808,ibm,2008,11-24,66.709
27809,ibm,2008,12-26,67.911
28020,ibm,2009,11-25,106.3
28021,ibm,2009,12-28,110.48
28231,ibm,2010,11-26,120.14
28232,ibm,2010,12-28,121.66
28443,ibm,2011,11-28,154.11
28444,ibm,2011,12-28,155.6
28654,ibm,2012,11-28,165.12
28655,ibm,2012,12-24,165.47
28867,ibm,2013,11-26,155.45
28868,ibm,2013,12-26,162.51
29080,ibm,2014,11-24,145.6
29081,ibm,2014,12-26,145.78
29292,ibm,2015,11-25,127.95
29293,ibm,2015,12-28,127.61
29504,ibm,2016,11-28,158.38
29505,ibm,2016,12-28,159.98
29716,ibm,2017,11-02,151.83
29833,jagx,2015,11-25,2.04
29834,jagx,2015,12-28,2.33
30045,jagx,2016,11-28,0.6890000000000001
30046,jagx,2016,12-28,0.635
30257,jagx,2017,11-02,0.1795
